time	V(p002)	V(n001)
3.202720502071764e-004	1.000000e+000	1.802710e-001
3.296470502071763e-004	1.000000e+000	2.032994e-001
3.390220502071763e-004	1.000000e+000	2.269831e-001
3.483970502071762e-004	1.000000e+000	2.513220e-001
3.577720502071762e-004	1.000000e+000	2.763160e-001
3.655845502071761e-004	1.000000e+000	2.972058e-001
3.733970502071761e-004	1.000000e+000	3.180960e-001
3.812095502071760e-004	1.000000e+000	3.389867e-001
3.890220502071760e-004	1.000000e+000	3.598779e-001
3.968345502071759e-004	1.000000e+000	3.807696e-001
4.046470502071759e-004	1.000000e+000	4.016617e-001
4.124595502071758e-004	1.000000e+000	4.225544e-001
4.225041930643186e-004	1.000000e+000	4.491936e-001
4.325488359214614e-004	1.000000e+000	4.753805e-001
4.425934787786042e-004	1.000000e+000	5.011150e-001
4.526381216357471e-004	1.000000e+000	5.263972e-001
4.626827644928899e-004	1.000000e+000	5.512269e-001
4.727274073500327e-004	1.000000e+000	5.756043e-001
4.827720502071754e-004	1.000000e+000	5.995293e-001
4.941559787786043e-004	1.000000e+000	6.258350e-001
5.055399073500332e-004	1.000000e+000	6.512539e-001
5.169238359214620e-004	1.000000e+000	6.757861e-001
5.283077644928909e-004	1.000000e+000	6.994317e-001
5.396916930643198e-004	1.000000e+000	7.221906e-001
5.510756216357487e-004	1.000000e+000	7.440628e-001
5.624595502071775e-004	1.000000e+000	7.650483e-001
5.713881216357493e-004	1.000000e+000	7.808082e-001
5.803166930643209e-004	1.000000e+000	7.960003e-001
5.892452644928926e-004	1.000000e+000	8.106247e-001
5.981738359214642e-004	1.000000e+000	8.246812e-001
6.071024073500360e-004	1.000000e+000	8.381701e-001
6.160309787786077e-004	1.000000e+000	8.510911e-001
6.249595502071793e-004	1.000000e+000	8.634443e-001
6.372363359214654e-004	1.000000e+000	8.794813e-001
6.495131216357515e-004	1.000000e+000	8.945750e-001
6.617899073500375e-004	1.000000e+000	9.087254e-001
6.740666930643236e-004	1.000000e+000	9.219326e-001
6.863434787786097e-004	1.000000e+000	9.341966e-001
6.986202644928957e-004	1.000000e+000	9.455173e-001
7.108970502071818e-004	1.000000e+000	9.558947e-001
7.262988359214679e-004	1.000000e+000	9.676616e-001
7.417006216357541e-004	1.000000e+000	9.783647e-001
7.571024073500403e-004	1.000000e+000	9.880041e-001
7.725041930643264e-004	1.000000e+000	9.965797e-001
7.879059787786126e-004	1.000000e+000	1.004092e+000
8.033077644928987e-004	1.000000e+000	1.010540e+000
8.187095502071849e-004	1.000000e+000	1.015924e+000
8.354506216357568e-004	1.000000e+000	1.020848e+000
8.521916930643287e-004	1.000000e+000	1.025076e+000
8.689327644929006e-004	1.000000e+000	1.028608e+000
8.856738359214725e-004	1.000000e+000	1.031443e+000
9.024149073500444e-004	1.000000e+000	1.033581e+000
9.191559787786164e-004	1.000000e+000	1.035023e+000
9.358970502071882e-004	1.000000e+000	1.035769e+000
9.504059787786172e-004	1.000000e+000	1.036118e+000
9.649149073500462e-004	1.000000e+000	1.036242e+000
9.794238359214752e-004	1.000000e+000	1.036141e+000
9.939327644929042e-004	1.000000e+000	1.035816e+000
1.008441693064333e-003	1.000000e+000	1.035266e+000
1.022950621635762e-003	1.000000e+000	1.034491e+000
1.037459550207191e-003	1.000000e+000	1.033491e+000
1.054647050207192e-003	1.000000e+000	1.032163e+000
1.071834550207192e-003	1.000000e+000	1.030766e+000
1.089022050207193e-003	1.000000e+000	1.029300e+000
1.106209550207193e-003	1.000000e+000	1.027767e+000
1.123397050207194e-003	1.000000e+000	1.026164e+000
1.140584550207194e-003	1.000000e+000	1.024494e+000
1.157772050207195e-003	1.000000e+000	1.022755e+000
1.176075621635767e-003	1.000000e+000	1.020952e+000
1.194379193064339e-003	1.000000e+000	1.019209e+000
1.212682764492911e-003	1.000000e+000	1.017524e+000
1.230986335921482e-003	1.000000e+000	1.015898e+000
1.249289907350055e-003	1.000000e+000	1.014330e+000
1.267593478778626e-003	1.000000e+000	1.012822e+000
1.285897050207198e-003	1.000000e+000	1.011372e+000
1.309111335921485e-003	1.000000e+000	1.009689e+000
1.332325621635771e-003	1.000000e+000	1.008142e+000
1.355539907350057e-003	1.000000e+000	1.006731e+000
1.378754193064344e-003	1.000000e+000	1.005456e+000
1.401968478778630e-003	1.000000e+000	1.004317e+000
1.425182764492917e-003	1.000000e+000	1.003315e+000
1.448397050207203e-003	1.000000e+000	1.002449e+000
1.467147050207203e-003	1.000000e+000	1.001827e+000
1.485897050207204e-003	1.000000e+000	1.001289e+000
1.504647050207205e-003	1.000000e+000	1.000807e+000
1.523397050207205e-003	1.000000e+000	1.000382e+000
1.542147050207206e-003	1.000000e+000	1.000012e+000
1.560897050207206e-003	1.000000e+000	9.996993e-001
1.579647050207207e-003	1.000000e+000	9.994425e-001
1.598397050207207e-003	1.000000e+000	9.992419e-001
1.599959550207207e-003	1.000000e+000	9.992260e-001
1.600000000000000e-003	1.000000e+000	9.992257e-001
