time	V(n002)	V(n003)
2.052842069221427e-004	9.934846e-001	1.000000e+000
2.054427670289035e-004	9.934474e-001	1.000000e+000
2.056260699382322e-004	9.931139e-001	1.000000e+000
2.060545866116804e-004	9.925373e-001	1.000000e+000
3.246181762484481e-004	8.974001e-001	1.000000e+000
4.431817658852158e-004	8.069773e-001	1.000000e+000
5.617453555219834e-004	7.212689e-001	1.000000e+000
6.803089451587511e-004	6.402750e-001	1.000000e+000
7.988725347955188e-004	5.639954e-001	1.000000e+000
9.174361244322864e-004	4.924303e-001	1.000000e+000
1.035999714069054e-003	4.255796e-001	1.000000e+000
1.147606856926197e-003	3.667423e-001	1.000000e+000
1.259213999783340e-003	3.113779e-001	1.000000e+000
1.370821142640483e-003	2.594864e-001	1.000000e+000
1.482428285497626e-003	2.110679e-001	1.000000e+000
1.594035428354769e-003	1.661222e-001	1.000000e+000
1.705642571211912e-003	1.246494e-001	1.000000e+000
1.817249714069055e-003	8.664958e-002	1.000000e+000
1.860497481926197e-003	7.265015e-002	1.000000e+000
1.903745249783339e-003	5.908113e-002	1.000000e+000
1.946993017640482e-003	4.594250e-002	1.000000e+000
1.990240785497624e-003	3.323428e-002	1.000000e+000
2.033488553354766e-003	2.095646e-002	1.000000e+000
2.076736321211909e-003	9.109044e-003	1.000000e+000
2.119984089069051e-003	-2.307971e-003	1.000000e+000
2.149280964069050e-003	-9.824568e-003	1.000000e+000
2.219035428354763e-003	-2.691146e-002	1.000000e+000
2.288789892640476e-003	-4.306773e-002	1.000000e+000
2.358544356926189e-003	-5.829337e-002	1.000000e+000
2.428298821211902e-003	-7.258838e-002	1.000000e+000
2.498053285497614e-003	-8.595277e-002	1.000000e+000
2.567807749783327e-003	-9.838653e-002	1.000000e+000
2.637562214069040e-003	-1.098897e-001	1.000000e+000
2.753354624783323e-003	-1.269911e-001	1.000000e+000
2.869147035497606e-003	-1.422680e-001	1.000000e+000
2.984939446211890e-003	-1.557204e-001	1.000000e+000
3.100731856926173e-003	-1.673484e-001	1.000000e+000
3.216524267640456e-003	-1.771519e-001	1.000000e+000
3.332316678354740e-003	-1.851309e-001	1.000000e+000
3.448109089069023e-003	-1.912854e-001	1.000000e+000
3.527629178354735e-003	-1.948152e-001	1.000000e+000
3.607149267640448e-003	-1.977969e-001	1.000000e+000
3.686669356926161e-003	-2.002303e-001	1.000000e+000
3.766189446211873e-003	-2.021156e-001	1.000000e+000
