waveform	Ch0	
t0	2018/05/01  15:17:27.896645	
delta t	2.000000E-6	

time[0]	Ch0
2018/05/01  15:17:27.898859	-1.592153E-1
2018/05/01  15:17:27.898861	-1.590865E-1
2018/05/01  15:17:27.898863	-1.592797E-1
2018/05/01  15:17:27.898865	-1.593119E-1
2018/05/01  15:17:27.898867	-1.592475E-1
2018/05/01  15:17:27.898869	-1.592153E-1
2018/05/01  15:17:27.898871	-1.592153E-1
2018/05/01  15:17:27.898873	-1.592797E-1
2018/05/01  15:17:27.898875	-1.592475E-1
2018/05/01  15:17:27.898877	-1.591187E-1
2018/05/01  15:17:27.898879	-1.592475E-1
2018/05/01  15:17:27.898881	-1.593441E-1
2018/05/01  15:17:27.898883	-1.592475E-1
2018/05/01  15:17:27.898885	-1.591509E-1
2018/05/01  15:17:27.898887	-1.592153E-1
2018/05/01  15:17:27.898889	-1.592797E-1
2018/05/01  15:17:27.898891	-1.592475E-1
2018/05/01  15:17:27.898893	-1.590865E-1
2018/05/01  15:17:27.898895	-1.592475E-1
2018/05/01  15:17:27.898897	-1.593119E-1
2018/05/01  15:17:27.898899	-1.592475E-1
2018/05/01  15:17:27.898901	-1.591187E-1
2018/05/01  15:17:27.898903	-1.592475E-1
2018/05/01  15:17:27.898905	-1.592797E-1
2018/05/01  15:17:27.898907	-1.593119E-1
2018/05/01  15:17:27.898909	-1.590865E-1
2018/05/01  15:17:27.898911	-1.592475E-1
2018/05/01  15:17:27.898913	-1.593119E-1
2018/05/01  15:17:27.898915	-1.593119E-1
2018/05/01  15:17:27.898917	-1.592475E-1
2018/05/01  15:17:27.898919	-1.591831E-1
2018/05/01  15:17:27.898921	-1.593119E-1
2018/05/01  15:17:27.898923	-1.592153E-1
2018/05/01  15:17:27.898925	-1.592475E-1
2018/05/01  15:17:27.898927	-1.592475E-1
2018/05/01  15:17:27.898929	-1.593441E-1
2018/05/01  15:17:27.898931	-1.592153E-1
2018/05/01  15:17:27.898933	-1.591509E-1
2018/05/01  15:17:27.898935	-1.592153E-1
2018/05/01  15:17:27.898937	-1.593441E-1
2018/05/01  15:17:27.898939	-1.593763E-1
2018/05/01  15:17:27.898941	-1.591509E-1
2018/05/01  15:17:27.898943	-1.591831E-1
2018/05/01  15:17:27.898945	-1.593119E-1
2018/05/01  15:17:27.898947	-1.593119E-1
2018/05/01  15:17:27.898949	-1.591831E-1
2018/05/01  15:17:27.898951	-1.592475E-1
2018/05/01  15:17:27.898953	-1.593441E-1
2018/05/01  15:17:27.898955	-1.591831E-1
2018/05/01  15:17:27.898957	-1.591187E-1
2018/05/01  15:17:27.898959	-1.592797E-1
2018/05/01  15:17:27.898961	-1.592475E-1
2018/05/01  15:17:27.898963	-1.591509E-1
2018/05/01  15:17:27.898965	-1.590865E-1
2018/05/01  15:17:27.898967	-1.592475E-1
2018/05/01  15:17:27.898969	-1.593763E-1
2018/05/01  15:17:27.898971	-1.592797E-1
2018/05/01  15:17:27.898973	-1.591509E-1
2018/05/01  15:17:27.898975	-1.590221E-1
2018/05/01  15:17:27.898977	-1.591509E-1
2018/05/01  15:17:27.898979	-1.590543E-1
2018/05/01  15:17:27.898981	-1.588611E-1
2018/05/01  15:17:27.898983	-1.587967E-1
2018/05/01  15:17:27.898985	-1.587967E-1
2018/05/01  15:17:27.898987	-1.586035E-1
2018/05/01  15:17:27.898989	-1.582815E-1
2018/05/01  15:17:27.898991	-1.581527E-1
2018/05/01  15:17:27.898993	-1.580561E-1
2018/05/01  15:17:27.898995	-1.576053E-1
2018/05/01  15:17:27.898997	-1.571868E-1
2018/05/01  15:17:27.898999	-1.569936E-1
2018/05/01  15:17:27.899001	-1.567360E-1
2018/05/01  15:17:27.899003	-1.560920E-1
2018/05/01  15:17:27.899005	-1.554480E-1
2018/05/01  15:17:27.899007	-1.549972E-1
